"conceptId","term","read2_code","read2_term","read2_chapter"
"534004","Wooden boatbuilder (occupation)","0D73.11","Boat builder","0 - Occupations"
"824004","Sociologist (occupation)","0391.00","Sociologist","0 - Occupations"
"878004","Ship's steward (occupation)","0A91.00","Steward - seagoing","0 - Occupations"
"1004008","Annealer (occupation)","0E1C.11","Annealer - metal","0 - Occupations"
"1637009","General manager (occupation)","0134.00","General manager","0 - Occupations"
"2635003","Woodworking-machine setter (general) (occupation)","0D77.00","Woodcutting machine setter","0 - Occupations"
"3000005","Nursemaid (occupation)","0A85.00","Nursery maid","0 - Occupations"
"3022003","Instrumentalist (occupation)","0462.00","Instrumentalist","0 - Occupations"
"3285005","Laundry pressing-machine operator (occupation)","0AH6.00","Machine presser - garments","0 - Occupations"
"4270006","Composer (occupation)","0451.11","Composer - music","0 - Occupations"
"4270006","Composer (occupation)","0451.00","Composer","0 - Occupations"
"4572004","Shoe repairer (occupation)","0D69.00","Boot/shoe repairer","0 - Occupations"
"4856002","Sheep farm worker (occupation)","0B34.00","Stockman - sheep","0 - Occupations"
"4890006","Maintenance electrician (occupation)","0E6..12","Maintainers - electrical","0 - Occupations"
"5215000","Winder (occupation)","0C24.00","Winder","0 - Occupations"
"5275007","Auxiliary nurse (occupation)","03FF.00","Nursing auxiliary","0 - Occupations"
"5334003","Botanist (occupation)","0514.00","Botanist","0 - Occupations"
"6868009","Hospital administrator (occupation)","03D3.00","Medical administrator-hospital","0 - Occupations"
"7474009","Methods engineer (occupation)","0294.00","Methods engineer","0 - Occupations"
"7474009","Methods engineer (occupation)","029..11","Methods engineer","0 - Occupations"
"7859000","Flying instructor (occupation)","05G6.00","Flying instructor","0 - Occupations"
"8026002","Ship joiner (occupation)","0D73.00","Carpenter/joiner - ship","0 - Occupations"
"8479002","Fire-prevention specialist (occupation)","0942.00","Fire prevention officer","0 - Occupations"
"8651002","Electronic computer operator (occupation)","07D3.00","Computer operator","0 - Occupations"
"8859003","Technical service adviser (occupation)","05SZ.00","Tech.service advisor NOS","0 - Occupations"
"8859003","Technical service adviser (occupation)","05S..00","Technical service advisor","0 - Occupations"
"9239000","Potter (general) (occupation)","0D2..13","Pottery worker","0 - Occupations"
"9658001","Block printer (occupation)","0D3A.00","Block printer","0 - Occupations"
"10207001","Docker (occupation)","0IZ6.00","Docker","0 - Occupations"
"10569000","Taxidermist (occupation)","0AZ5.00","Taxidermist","0 - Occupations"
"10975003","Air traffic controller (occupation)","05H..11","Air traffic controllers","0 - Occupations"
"11015003","Minister of religion (occupation)","03B..12","Minister of religion","0 - Occupations"
"11015003","Minister of religion (occupation)","03B1.00","Minister of religion","0 - Occupations"
"11205001","Judge (occupation)","0211.00","Judge","0 - Occupations"
"11629001","Bank teller (occupation)","0731.00","Bank cashier","0 - Occupations"
"12106005","Lighthouse man (occupation)","0I14.00","Lighthouse keeper","0 - Occupations"
"12249001","Library clerk (occupation)","0772.00","Library clerk","0 - Occupations"
"12508002","Tire builder (occupation)","0D82.00","Rubber tyre builder","0 - Occupations"
"12514009","Barber-hairdresser (occupation)","0AI..11","Barber","0 - Occupations"
"12919008","Actor (occupation)","0464.00","Actor","0 - Occupations"
"12919008","Actor (occupation)","046..11","Actors","0 - Occupations"
"13320000","Cinema projectionist (occupation)","0482.00","Projectionist","0 - Occupations"
"13637000","Personal maid, valet (occupation)","0A83.00","Valet","0 - Occupations"
"14406004","Policeman (occupation)","093..00","Policemen","0 - Occupations"
"14406004","Policeman (occupation)","093Z.00","Policeman NOS","0 - Occupations"
"14679004","Occupation (occupation)","0Z...00","Other occupations","0 - Occupations"
"14679004","Occupation (occupation)","0Z2..00","Other supervisors/foremen","0 - Occupations"
"14679004","Occupation (occupation)","0Z2Z.00","Other supervisor/foreman NOS","0 - Occupations"
"14679004","Occupation (occupation)","0....00","Occupations","0 - Occupations"
"14679004","Occupation (occupation)","0....11","Job","0 - Occupations"
"14679004","Occupation (occupation)","0ZZ..00","Other occupations NOS","0 - Occupations"
"14831008","Singer (occupation)","0463.00","Singer","0 - Occupations"
"14928008","Physicist (general) (occupation)","0532.00","General physicist","0 - Occupations"
"15273000","Pig farm worker (occupation)","0B35.11","Pig man","0 - Occupations"
"15407000","Machine labeler (occupation)","0G2E.00","Labelling machine attendant","0 - Occupations"
"16141006","Poultry hatchery worker (occupation)","0B3E.00","Hatchery worker","0 - Occupations"
"16215006","Analytical chemist (occupation)","0524.00","Analytical chemist","0 - Occupations"
"16305002","Agricultural engineer (occupation)","05E1.00","Agricultural engineer","0 - Occupations"
"16446008","Mechanical draftsman (occupation)","05L3.00","Engineering draughtsman","0 - Occupations"
"17075003","Quarryman (general) (occupation)","0H2..13","Quarryers","0 - Occupations"
"17242000","Bookkeeping clerk (occupation)","0722.00","Book keeper","0 - Occupations"
"17559009","Ship's radio officer (occupation)","05I7.00","Ship radio officer","0 - Occupations"
"17713009","Bath attendant (occupation)","0AG2.00","Bath attendant","0 - Occupations"
"18376005","Display artist (occupation)","0428.00","Display artist","0 - Occupations"
"18482007","Sign-painter (occupation)","0F13.00","Signwriter","0 - Occupations"
"18976003","Land surveyor (occupation)","05K1.00","Land surveyor","0 - Occupations"
"19488003","Demolition worker (occupation)","0H1J.00","Demolisher","0 - Occupations"
"19656002","Manager, wholesale trade (occupation)","0691.00","Wholesale distribution manager","0 - Occupations"
"19667001","Physics technician (occupation)","05M4.00","Lab.technician - physics","0 - Occupations"
"19790003","Gas-compressor operator (occupation)","0Z15.00","Gas compressor operator","0 - Occupations"
"20222007","Systems analyst (occupation)","02B2.00","Systems analyst","0 - Occupations"
"20662002","Chemist, general (occupation)","0522.00","General chemist","0 - Occupations"
"20923008","Quantity surveyor (occupation)","05K7.00","Quantity surveyor","0 - Occupations"
"21048004","Jeweler (general) (occupation)","0EZ5.00","Jeweller","0 - Occupations"
"21073004","Machine-tool operator (general) (occupation)","0E24.00","Machine tool operator","0 - Occupations"
"21230004","Chemical engineer (general) (occupation)","05C2.00","Chemical engineer - general","0 - Occupations"
"21407008","Professional sportsman (occupation)","04A..13","Professional sportsmen","0 - Occupations"
"21407008","Professional sportsman (occupation)","04A6.00","Professional sportsman","0 - Occupations"
"21640005","Bookkeeping machine operator (occupation)","07D1.00","Accounting machine operator","0 - Occupations"
"21682009","Electroplater (occupation)","0E1B.00","Electroplater","0 - Occupations"
"22368001","Sports official (occupation)","04A9.00","Sports official","0 - Occupations"
"22368001","Sports official (occupation)","04A..14","Sports officials","0 - Occupations"
"22576003","Sculptor (occupation)","0423.00","Sculptor","0 - Occupations"
"22835001","Marine engineer officer (occupation)","05I6.00","Ship engineer officer","0 - Occupations"
"23330005","Wages clerk (occupation)","0725.00","Wages clerk","0 - Occupations"
"23460004","Metal-press operator (occupation)","0E25.00","Press/stamping machine operat.","0 - Occupations"
"23709004","Telephone switchboard operator (occupation)","07FZ.00","Telephonist NOS","0 - Occupations"
"23709004","Telephone switchboard operator (occupation)","07F..00","Telephonists","0 - Occupations"
"23905004","Occupational analyst (occupation)","029A.00","Occupational analyst","0 - Occupations"
"24413000","Carpenter, general (occupation)","0D7..12","Carpenter","0 - Occupations"
"24966007","Dry-cleaning machine operator (occupation)","0AH4.00","Dry cleaning machine operator","0 - Occupations"
"25100006","Railway signalman (occupation)","0I25.00","Railway signalman","0 - Occupations"
"25372009","Window cleaner (occupation)","0AE2.00","Window cleaner","0 - Occupations"
"25482009","Art gallery/museum curator (occupation)","02G5.11","Curator museum/gallery","0 - Occupations"
"25591005","Lifting-truck operator (occupation)","0I4..12","Fork-lift truck driver","0 - Occupations"
"25651004","Printer, general (occupation)","0D32.00","General printer","0 - Occupations"
"25965004","Electrical engineer (general) (occupation)","05B2.00","Electr.engineer - general","0 - Occupations"
"26042002","Dental hygienist (occupation)","03K4.00","Dental hygienist","0 - Occupations"
"26063000","Tailor (made-to-measure garments) (occupation)","0D52.00","Tailor","0 - Occupations"
"26695003","Coremaker (hand) (occupation)","0E17.00","Hand moulder/core maker -metal","0 - Occupations"
"26698001","Office machine operator (reproduction processes) (occupation)","07D7.00","Photocopying machine operator","0 - Occupations"
"26755008","Mathematician (pure mathematics) (occupation)","0552.00","Pure mathematician","0 - Occupations"
"27896005","Orchard worker (occupation)","0B44.00","Orchard worker","0 - Occupations"
"28229004","Optometrist (occupation)","03I1.11","Optometrist","0 - Occupations"
"28909007","Mattress maker (occupation)","0D57.00","Mattress maker","0 - Occupations"
"29196000","Travel agency clerk (occupation)","089..00","Travel agent","0 - Occupations"
"29387008","Spray-painter (except construction) (occupation)","0F16.00","Spray painter","0 - Occupations"
"29410004","Mechanical engineer (general) (occupation)","0592.00","Mechanical engineer - general","0 - Occupations"
"29536009","Journalist (occupation)","041..12","Journalists","0 - Occupations"
"29699008","Editor, newspapers and periodicals (occupation)","0411.00","Editor - newspaper/periodical","0 - Occupations"
"29777006","Civil engineer (general) (occupation)","0572.00","Civil engineer - general","0 - Occupations"
"30522001","Coal-mining engineer (occupation)","0582.00","Mining engineer - coal","0 - Occupations"
"30674009","Apiary worker (occupation)","0B3A.00","Beekeeper","0 - Occupations"
"30688008","Operations research analyst (occupation)","0291.00","Operational research officer","0 - Occupations"
"31203003","Advertising account executive (occupation)","02D2.00","Advertising account executive","0 - Occupations"
"31549006","Tree feller/bucker (occupation)","0B72.00","Tree feller","0 - Occupations"
"31582009","Electric cable jointer (occupation)","0E67.00","Cable jointer","0 - Occupations"
"31641003","Pharmacologist (occupation)","051H.00","Pharmacologist","0 - Occupations"
"31682003","Cabinetmaker (occupation)","0D74.00","Cabinet maker","0 - Occupations"
"32136005","Watch/clock repairer (occupation)","0E47.00","Watch/clock repairers","0 - Occupations"
"32156006","Railway engine-driver (occupation)","0I22.00","Railway engine driver","0 - Occupations"
"32496004","Beater operator (occupation)","0C62.00","Beaterman -paper/board process","0 - Occupations"
"33863003","Leather garment cutter (occupation)","0D64.00","Leather cutters","0 - Occupations"
"34024003","Gardener (occupation)","0B5..11","Gardeners","0 - Occupations"
"34179008","Hand embroiderer (occupation)","0D5D.11","Embroiderer - hand","0 - Occupations"
"34179008","Hand embroiderer (occupation)","0D5E.00","Hand embroiderer","0 - Occupations"
"34317009","Butcher, general (occupation)","0C55.00","Butcher","0 - Occupations"
"34422008","Orthopedic footwear maker (occupation)","0D63.11","Surgical shoe maker","0 - Occupations"
"34457006","Railway shunter (occupation)","0I26.00","Railway shunter","0 - Occupations"
"34484007","Forestry worker (occupation)","0B71.00","Forest worker","0 - Occupations"
"34484007","Forestry worker (occupation)","0B7..00","Forestry workers","0 - Occupations"
"34484007","Forestry worker (occupation)","0B7Z.00","Forestry worker NOS","0 - Occupations"
"34655005","Pipe fitter (general) (occupation)","0E74.00","Pipe fitter","0 - Occupations"
"34718002","Teacher of the blind (occupation)","038Z.11","Blind teacher","0 - Occupations"
"34769002","Nuclear power engineer (occupation)","05E4.00","Nuclear engineer","0 - Occupations"
"35309008","Hydrographic surveyor (occupation)","05K2.00","Hydrographic surveyor","0 - Occupations"
"35513000","Biochemist (occupation)","051J.00","Biochemist","0 - Occupations"
"35861003","Interior decoration designer (occupation)","0425.00","Interior decoration designer","0 - Occupations"
